Disorder,Signs,suggestions
Emotional & Behavioral Disorders,Obsessive Compulsive Disorder - Concerns about accidentally hurting themselves or others.,"With the student's and parents' consent, provide age-appropriate education about OCD."
Emotional & Behavioral Disorders,Obsessive Compulsive Disorder - Concerns about accidentally hurting themselves or others.,Avoid reinforcing compulsions - Do not provide excessive reassurance.
Emotional & Behavioral Disorders,"Obsessive Compulsive Disorder - Unwanted and disturbing thoughts, images, or urges, which can include violent or sexual themes.",Do not provide excessive reassurance.
Emotional & Behavioral Disorders,"Obsessive Compulsive Disorder - Unwanted and disturbing thoughts, images, or urges, which can include violent or sexual themes.","Allow students to use coping mechanisms, such as deep breathing or mindfulness techniques."
Emotional & Behavioral Disorders,"Obsessive Compulsive Disorder - Feeling that things must be ""just right"" or perfectly aligned.",Work with the student's therapist to implement strategies for managing compulsions.
Emotional & Behavioral Disorders,"Obsessive Compulsive Disorder - Feeling that things must be ""just right"" or perfectly aligned.","Understand that OCD is a neurological disorder, not a choice."
Emotional & Behavioral Disorders,"Oppossitional Defiant Disorder (ODD) - Frequent anger, resentment, and temper tantrums","Behavioral health professional, such as a therapist, can help the child learn to manage anger and impulses"
Emotional & Behavioral Disorders,"Oppossitional Defiant Disorder (ODD) - Frequent anger, resentment, and temper tantrums",Develop an individualized education plan (IEP) or 504 plan to address the student's specific needs.
Emotional & Behavioral Disorders,Oppossitional Defiant Disorder (ODD) - Mean or hateful speech when upset,Focus on positive interactions and avoid power struggles.
Emotional & Behavioral Disorders,Oppossitional Defiant Disorder (ODD) - Mean or hateful speech when upset,Establish a safe space where the student can calm down when needed.
Emotional & Behavioral Disorders,Oppossitional Defiant Disorder (ODD) - Blaming others for mistakes,Focus on rewarding positive behaviors rather than punishing negative ones.
Emotional & Behavioral Disorders,Oppossitional Defiant Disorder (ODD) - Blaming others for mistakes,Offer choices whenever possible to give the student a sense of control.
Emotional & Behavioral Disorders,Oppossitional Defiant Disorder (ODD) - Refusing to obey rules,"Provide clear, concise instructions and rules."
Emotional & Behavioral Disorders,Oppossitional Defiant Disorder (ODD) - Refusing to obey rules,"Communicate expectations in a calm, firm, and respectful manner."
Emotional & Behavioral Disorders,Oppossitional Defiant Disorder (ODD) - Being easily annoyed or touchy,"Avoid escalating conflicts. Stay calm and speak in a low, even tone."
Emotional & Behavioral Disorders,Oppossitional Defiant Disorder (ODD) - Being easily annoyed or touchy,Establish a safe space where the student can calm down when needed.
Emotional & Behavioral Disorders,"Oppossitional Defiant Disorder (ODD) - Persistent pattern of angry, irritable mood, argumentative/defiant behavior, and vindictiveness.

",Positive reinforcement - Actively praise appropriate behaviors and efforts to encourage positive actions.
Emotional & Behavioral Disorders,"Oppossitional Defiant Disorder (ODD) - Persistent pattern of angry, irritable mood, argumentative/defiant behavior, and vindictiveness.

",Positive reinforcement - Actively praise appropriate behaviors and efforts to encourage positive actions.
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Inattention - Difficulty sustaining attention in tasks or play.,"Provide clear, predictable routines and transitions."
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Inattention -  Difficulty sustaining attention in tasks or play.,"Break down complex tasks into smaller, manageable steps."
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Inattention - Being easily distracted by extraneous stimuli.,"Seat the student in a quiet area of the classroom, away from windows and high-traffic areas."
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Inattention - Being easily distracted by extraneous stimuli.,Reduce visual clutter in the classroom.
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Hyperactivity - Fidgeting or squirming in their seat.,Allow for frequent breaks and opportunities for movement.
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Hyperactivity - Fidgeting or squirming in their seat.,Seat the student in a location that minimizes distractions.
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Hyperactivity - Difficulty playing or engaging in leisure activities quietly.,"Allow the use of fidget tools, such as stress balls or fidget spinners (when used appropriately)."
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Hyperactivity - Difficulty playing or engaging in leisure activities quietly.,Incorporate physical activity into lessons.
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Academic Challenges - Incomplete assignments.,Allow extra time for tests and assignments.
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Academic Challenges - Incomplete assignments.,"Break down assignments into smaller, more manageable tasks."
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Academic Challenges - Poor test performance despite apparent understanding.,"Provide access to assistive technology, such as audio recorders or text-to-speech software."
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Academic Challenges - Poor test performance despite apparent understanding.,Reduce the number of questions or problems on assignments.
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Academic Challenges - Difficulty with organization and time management.,"Teach organizational skills, such as using planners, checklists, and color-coding systems."
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Academic Challenges - Difficulty with organization and time management.,Help students organize their desks and materials.
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Academic Challenges - Social Difficulties - Difficulty following social rules.,Focus on praising positive behaviors and effort.
Emotional & Behavioral Disorders,Attention Deficit Hyperactivity Disorder (ADHD) - Academic Challenges - Social Difficulties - Difficulty following social rules.,Use a reward system to motivate desired behaviors.No file uploaded,visual,paraprofessional,kindergarten,Math,Teaching kids how to eat veggies
